dt,open,high,low,close,volume,symbol,dt_diff,RVOL,logreturns,ma7,ma21,26ema,12ema,MACD,20sd,upper_band,lower_band,ema,momentum,mean,std,var,var_t,fft_5,fft_10,fft_100,fft_1000,r_fft_100,r_fft_500,r_fft_1000,r_fft_1500,High,Low,Adj Close
1999-04-28,749.625,806.625,696.0,726.0,2689900,BKNG,-1.0,1.9905900290279726,-0.06933716482827634,581.0892857142857,501.73214285714283,534.3143320618867,576.9058133062974,42.591481244410716,110.11553796945566,721.9632187960542,281.5010669182315,729.1736119083344,725.0,0.03233276134741511,0.1392384705116167,0.21976442414190736,0.18499757163126151,1118.7032812344698,1129.1247662678024,575.7934609475539,797.5757945177759,0.019414432505127446,0.11412592072607324,0.08439134710597487,-0.05764410611695604,24.48,23.450001,24.4
1999-04-29,690.375,833.25,690.0,826.875,4331400,BKNG,-1.0,2.1384239289173532,0.1301035200444245,641.25,521.3928571428571,560.8701907643382,616.362628176118,55.49243741177986,131.340555227121,784.0739675970991,258.7117466886151,794.3078706381871,825.875,0.042820500252035744,0.14035325557776135,0.21129505111395833,0.17624984472716526,1115.82220407176,1123.1104361886162,574.7614828064469,829.7770913665029,0.017512658016174187,0.07994725518556263,0.05665405909469435,0.1472127170638536,25.549999,24.32,25.059998999999998
1999-04-30,909.0,990.0,810.0,974.25,5076500,BKNG,-3.0,2.191255898350316,0.16401440934959854,716.5714285714286,544.1071428571429,597.7766517732782,672.6288774654494,74.85222569217115,165.1330758214815,874.3732945001059,213.8409912141799,914.2692902140031,973.25,0.05238955878577294,0.143577208131369,0.2075630960899713,0.17171289175598198,1112.9359233858181,1117.0932430237365,576.081597136033,867.8964279003386,0.015525125525958737,0.03983119192720804,0.022810435279246026,0.1162762620065387,26.469998999999998,23.620001000000002,25.07
1999-05-03,914.625,953.25,833.25,835.5,5237400,BKNG,-1.0,1.9291461509047234,-0.15363759618337092,770.4642857142857,560.8928571428571,618.6826508845234,698.1490658649338,79.46641498041049,175.40198004943719,911.6968172417314,210.08889704398274,861.7564300711484,834.5,0.03987756520455647,0.15314888249504804,0.23740501407094244,0.1991648309497745,1110.0444832594537,1111.0735372458344,579.5422057610388,889.0015893946755,0.01347315766645577,0.002252617318438888,-0.00277413191504859,-0.10726135748767121,25.77,24.110001,24.15
1999-05-04,855.75,900.0,783.75,804.0,4156500,BKNG,-1.0,1.9028177547960914,-0.03843107885648145,809.8928571428571,577.7142857142857,634.7570055162689,714.6877670718462,79.9307615555773,181.6622426227774,941.0387709598405,214.38980046873087,823.252143357004,803.0,0.03314911864693961,0.15429695636077462,0.2462120972957106,0.20768524832268165,1107.1479279005662,1105.0516689384056,584.9167110680422,874.9643648887248,0.011378708075220755,-0.026090398013157812,-0.009025624798880761,-0.046296208360806036,25.700001,24.23,25.620001000000002
1999-05-05,847.125,912.0,720.75,907.125,7583800,BKNG,-1.0,2.2031373261031106,0.12068098841933406,835.9821428571429,598.3392857142857,658.0866171579854,744.6832018637078,86.59658470572242,192.36608839777486,983.0714625098353,213.60710891873595,879.1673811190234,906.125,0.03352434063932683,0.15451704411246012,0.24623535355833956,0.20765355024421409,1104.246301640965,1099.027987759356,591.9665457417177,842.4026342190059,0.009264068365075774,-0.041699090574250454,-0.007518967338726115,0.08269420616900368,27.219998999999998,25.17,25.190001000000002
1999-05-06,888.0,912.0,827.25,836.625,3792500,BKNG,-1.0,2.1338883157721975,-0.08090431617749427,844.3392857142857,616.8928571428571,673.2042053162072,758.9853228053681,85.78111748916092,194.5367764750814,1005.9664100930199,227.8193041926943,850.8057937063375,835.625,0.037143570633003505,0.1508758264059718,0.2360235437109291,0.1983509264751588,1101.3396489351762,1093.0028429046677,600.4443006899779,818.7573322567226,0.007151570266338166,-0.04455754547853788,-0.018522302594825152,-0.025578991110340548,28.58,25.34,27.440001000000002
1999-05-07,865.5,865.875,777.75,783.9375,3418100,BKNG,-3.0,1.7714732972146339,-0.06504664363591317,852.6160714285714,633.5089285714286,682.4821077843227,762.86016347849,80.3780556941673,192.64057994282317,1018.790088457075,248.22776868578222,806.2269312354438,782.9375,0.03156678186854034,0.15313902870388077,0.24569795669806155,0.2074602339982335,1098.4280143592605,1086.9765830721526,610.0969085571384,804.5774955456028,0.005063287229727943,-0.03737707619974224,-0.04140692994165853,-0.09978309058189146,26.42,25.360001,25.360001
1999-05-10,768.0,791.25,726.0,768.0,2695000,BKNG,-1.0,1.6679039655223482,-0.020539564637220842,844.2053571428571,648.9375,689.5783931729321,763.6571808934892,74.0787877205571,189.49399409291627,1027.9254881858326,269.94951181416747,780.7423104118143,767.0,0.05065141387923588,0.12278767770963286,0.17166091007570103,0.14100170313835275,1095.511442609609,1080.9495564252975,620.6688398504622,780.3310104854828,0.0030207397983067845,-0.02424289798324833,-0.05182049184860062,-0.02391312282790995,26.98,25.73,26.620001000000002
1999-05-11,807.0,808.5,738.0,738.0,1718800,BKNG,-1.0,1.5878314169765215,-0.039845908547199826,810.4553571428571,662.2053571428571,693.5609552608358,759.6834569421917,66.12250168135586,185.92350873388165,1034.0523746106205,290.3583396750938,752.2474368039378,737.0,0.03988044121371814,0.1231939221102117,0.18316740554343294,0.15240676227813377,1092.58997850175,1074.9221105572058,631.9052689432285,745.3557217857834,0.0010446090120443626,-0.009239586240081869,-0.0325126348548424,-0.006406960822436223,26.209999,25.33,25.620001000000002
1999-05-12,736.5,774.0,732.0,756.0,1443100,BKNG,-1.0,0.8829404447074047,0.024097551579060905,799.0982142857143,674.9196428571429,698.6547836465506,759.1135596256391,60.4587759790885,184.52475839778214,1043.9691596527073,305.8701260615786,754.7491456013125,755.0,0.03503218543773094,0.12222012887376968,0.18625256715978494,0.15573507311684393,1089.663666969145,1068.8945924546385,643.5551680600219,727.130841841882,-0.0008455380006673523,0.004470771880763533,0.002602145079244123,-0.02333996799646769,27.08,26.059998999999998,26.129998999999998
