dt,open,high,low,close,volume,symbol,dt_diff,RVOL,logreturns,ma7,ma21,26ema,12ema,MACD,20sd,upper_band,lower_band,ema,momentum,mean,std,var,var_t,fft_5,fft_10,fft_100,fft_1000,r_fft_100,r_fft_500,r_fft_1000,r_fft_1500,High,Low,Adj Close
1990-02-13,0.6327,0.6327,0.6269,0.6269,1622500,LOW,-1.0,0.1532482119441409,-0.009209337872915835,0.6281428571428572,0.6266380952380953,0.6306509212320357,0.6284593217868524,-0.002191599445183323,0.008512373347075565,0.6436628419322464,0.6096133485439442,0.6290679969449581,-0.3731,-0.0006139558581943889,0.015752842349432233,0.02913514835016125,0.025201776024439872,37.92823039987444,35.70744912508897,-7.625027891039,0.27197888065965187,0.0030254564897554998,-0.0013665326162567567,0.0038536714784975857,-0.0020248547654649527,23.76,23.76,23.76
1990-02-14,0.6269,0.6298,0.6269,0.6298,692300,LOW,-1.0,0.13812006902364538,0.004615270387001491,0.6281428571428572,0.6274619047619048,0.6305820196082084,0.6286665682209762,-0.0019154513872321477,0.008491188931691877,0.6444442826252885,0.610479526898521,0.6295559989816527,-0.3702,0.0006167960198331102,0.01536151254038508,0.027195877173578038,0.023360217108729462,37.81959529842475,35.49388371037282,-7.844100509562263,-0.33637967910544625,0.003248052265983693,-0.0038829928284220146,-0.0023817928557375977,-0.002908400095019605,22.049999,22.049999,22.049999
1990-02-15,0.6298,0.6298,0.6269,0.6298,1484100,LOW,-1.0,0.12364570495169613,0.0,0.6289714285714287,0.6277380952380952,0.6305191310160391,0.6288416487655211,-0.0016774822505180031,0.00842464429984731,0.6445873838377898,0.6108888066384006,0.6297186663272176,-0.3702,0.0006167960198331102,0.01536151254038508,0.027195877173578038,0.023360217108729462,37.71094824543443,35.28039527336267,-7.97377466088949,-0.22013370259332168,0.003452643698704535,-0.006412008941407256,-0.009449216274008557,-0.004917284981153712,19.709999,19.709999,19.709999
1990-02-16,0.6298,0.6298,0.6211,0.624,2669600,LOW,-4.0,0.10458983994728034,-0.009251940297496652,0.6293857142857143,0.6273238095238095,0.6299981793482105,0.6280942279489197,-0.001903951399290782,0.007786871542606509,0.6428975526090225,0.6117500664385965,0.6259062221090725,-0.376,0.0,0.015572342480494487,0.028194389785981946,0.024306086989525653,37.602290119416146,35.06698938096872,-8.01834635498724,0.49099618634640185,0.003639310374586626,-0.0085291083156896,-0.014077287864613377,-0.009426708452435897,20.780001000000002,20.780001000000002,20.780001000000002
1990-02-20,0.6211,0.6211,0.6096,0.6096,419700,LOW,-1.0,0.08600620583433982,-0.02334736399699111,0.6277428571428573,0.6258095238095238,0.6283775956637931,0.625240718719023,-0.0031368769447701617,0.0083581413194437,0.6425258064484112,0.6090932411706365,0.6150354073696909,-0.39039999999999997,-0.0003163958697630383,0.016019083859205703,0.029319629962931776,0.025319779032062735,37.49362179861039,34.85367159564858,-7.982383049892912,1.2515914988638694,0.0038082792409985028,-0.009828752093757871,-0.014233500250651553,-0.013421057171856684,22.780001000000002,22.780001000000002,22.780001000000002
1990-02-21,0.6038,0.6038,0.6009,0.6009,735500,LOW,-1.0,0.10401179956989996,-0.014374473032554347,0.621957142857143,0.6241571428571427,0.6262062378431057,0.6214868166456854,-0.004719421197420304,0.009783503839035586,0.6437241505352139,0.6045901351790716,0.6056118024565637,-0.3991,-0.0006403935738913292,0.016265661302362653,0.030090066637530048,0.02602864707862889,37.38494416097473,34.64044747515526,-7.870694521401426,1.5126816512280326,0.003959920810169047,-0.009992314001470954,-0.010329182191825739,-0.013578857077946845,23.889999,23.889999,23.889999
1990-02-22,0.6038,0.6067,0.598,0.6038,1631100,LOW,-1.0,0.13520018043882717,0.004814485932856161,0.6178285714285715,0.6227809523809523,0.6244443523226049,0.6187601281681671,-0.005684224154437811,0.01074917867119467,0.6442793097233417,0.601282595038563,0.604403934152188,-0.3962,-0.002810619426279063,0.012588212883882092,0.02560211538789508,0.022458928457598924,37.27625808417314,34.42732257228526,-7.688302819110451,1.1123179258527933,0.004094744312523347,-0.008843540686315123,-0.00495265462001405,-0.00962935113428948,22.540001,22.540001,22.540001
1990-02-23,0.6067,0.6067,0.5951,0.5951,1025400,LOW,-3.0,0.14130654418694255,-0.014513558621932043,0.6132857142857143,0.6214047619047618,0.6221473705391162,0.6151137267096439,-0.007033643829472247,0.012385937484438753,0.6461766368736392,0.5966328869358843,0.5982013113840626,-0.40490000000000004,-0.004084461166802156,0.012751114114881296,0.027170896750325458,0.02398703454507733,37.16756444556535,34.21430243462703,-7.4404114938324994,0.3693386547659097,0.004213391833755443,-0.006381721956002642,-0.0011801843459095913,-0.0035934114481860897,23.690001000000002,23.690001000000002,23.690001000000002
1990-02-26,0.598,0.6009,0.5489,0.6009,830700,LOW,-1.0,0.6036016137196922,0.009699072689075883,0.6091571428571428,0.6203047619047618,0.6204911551274873,0.61292375640961,-0.007567398717877261,0.013170645190606518,0.6466460522859748,0.5939634715235488,0.6000004371280209,-0.3991,-0.0031315851551361406,0.013235178429747852,0.027094439812535256,0.023789710202044925,37.05886412219612,34.00139260430959,-7.13237428408827,-0.16950174707350008,0.004316631477313934,-0.0027866562830736264,-0.00047283869816963165,0.0019689076503865695,23.559998999999998,23.559998999999998,23.559998999999998
1990-02-27,0.598,0.6009,0.5923,0.5951,1112000,LOW,-1.0,0.6061090880531987,-0.009699072689075883,0.6041999999999998,0.6189285714285713,0.6185195751555638,0.61017819968012,-0.00834137547544378,0.014232375989826657,0.6473933234082245,0.590463819448918,0.5967334790426736,-0.40490000000000004,-0.0037781900010745327,0.013307980614397188,0.0278728561167591,0.02454994832026273,36.95015799078466,33.788598617751454,-6.769663450917232,-0.1307403013888115,0.004405349600817901,0.0016055937606202803,-0.0015551615406907181,0.0045026784546840625,22.690001000000002,22.690001000000002,22.690001000000002
1990-02-28,0.5894,0.6038,0.5894,0.6038,4508400,LOW,-1.0,0.6103360393777243,0.014513558621932043,0.6013142857142856,0.6185142857142856,0.6173806958115194,0.6091958966696526,-0.008184799141866872,0.01438096237904033,0.6472762104723663,0.5897523609562049,0.6014444930142245,-0.3962,-0.002193823406445953,0.014006135735178596,0.027552529125102653,0.024055296976833587,36.84144692771396,33.575926005409876,-6.357837950577672,0.4290338450587524,0.004480542181441188,0.006352080599751947,-0.00114651606511909,0.0030134564672200485,21.99,21.99,21.99
1990-03-01,0.6009,0.6038,0.5951,0.6038,6191400,LOW,-1.0,0.6103330553683669,0.0,0.6004857142857141,0.6183761904761903,0.6163333872477693,0.608365013281569,-0.007968373966200315,0.014537591018858119,0.6474513725139065,0.5893010084384741,0.6030148310047415,-0.3962,-0.0018832721528345918,0.013999230780028512,0.027229476155888766,0.02373396812564839,36.73273180902006,33.363380291530284,-5.902511633863354,1.0858262465025894,0.004543305371457908,0.010969066126509526,0.003768614642735597,0.0009975402767515905,21.9,21.9,21.9
1990-03-02,0.6067,0.6125,0.6067,0.6096,5187700,LOW,-3.0,0.6085205702453463,0.009559987099698186,0.6017285714285713,0.6174142857142856,0.6158157011372227,0.60855515558269,-0.007260545554532705,0.014205762359357268,0.6458258104330001,0.589002760995571,0.6074049436682473,-0.39039999999999997,-0.0012459396795213794,0.014305361263104197,0.027146405970090614,0.02357445934270824,36.62401351038153,33.15096699389615,-5.409321658751532,1.3694395413669496,0.004594825310887904,0.015003578572993614,0.013543847035650022,0.005576778335701117,21.34,21.34,21.34
1990-03-05,0.6125,0.6154,0.6096,0.6125,4183900,LOW,-1.0,0.16860253650419815,0.004745938046445575,0.6029714285714284,0.6164523809523809,0.6155614927303429,0.6091624448150803,-0.006399047915262579,0.013886012462376257,0.6442244058771334,0.5886803560276284,0.6108016478894158,-0.38749999999999996,-0.0030736229893448225,0.011131573811465961,0.023227811825418637,0.020448337277238247,36.51529290710875,32.93869162357909,-4.883897299937309,1.1015856607697974,0.004636367269477762,0.01809835190577039,0.025003753392168124,0.01999157414147999,22.030001000000002,22.030001000000002,22.030001000000002
